estado,q25,q50,q75
SUR DE LA CDMX,3867500.0,6498250.0,11625000.0
ORIENTE DE LA CDMX,3867500.0,6498250.0,11625000.0
OAXACA,1695000.0,3100000.0,5987499.999999999
SONORA,2749128.0,3785630.5,6682627.5
EL ESTADO DE MEXICO,1250000.0,2500000.0,5487500.0
VERACRUZ,1297500.0,2500000.0,6098750.0
GUANAJUATO,2467818.75,3775000.0,7845000.0
SAN LUIS POTOSI,1446960.0000000002,2344500.0,3800000.0000000005
HIDALGO,900000.0,1847600.0,3600000.0
CAMPECHE,4361750.0,8500000.0,21017500.0
SINALOA,1500000.0,2977460.0,4756158.0175
TLAXCALA,997500.0,2407500.0,4625000.0
MORELOS,1672500.0,3600000.0,6735000.000000001
MICHOACAN,2075000.0,4000000.0,17100593.95
JALISCO,2690000.0,3875000.0,7922500.0
PONIENTE DE LA CDMX,3867500.0,6498250.0,11625000.0
TAMAULIPAS,1830000.0,3325000.0,7050000.0
DURANGO,602550.0,1400000.0,3625000.0
GUERRERO,1588500.0,2700000.0,5850000.000000001
BAJA CALIFORNIA SUR,5103511.4399999995,7953487.0992,15088328.136
PUEBLA,2351446.0,3425000.0,5875000.0
NUEVO LEON,2800000.0,5689999.999999999,12060932.5
CHIHUAHUA,1950000.0,3249006.0,6400000.0
NORTE DE LA CDMX,3867500.0,6498250.0,11625000.0
NAYARIT,3487500.0,5850000.0,11735000.0
BAJA CALIFORNIA,2173490.75,3273100.0,5765262.760000001
QUINTANA ROO,3153500.0,4445536.635199999,6748419.14976
COAHUILA,2777703.6249999995,5122500.0,12076010.64
CHIAPAS,1775000.0,3825000.0,6910350.0
ZACATECAS,1124500.0,1980000.0,3350560.0
YUCATAN,1290252.75,2637824.0,6500000.0
TABASCO,1593500.0,2500000.0,4278750.0
QUERETARO,1730459.375,2960000.0,6937500.0
AGUASCALIENTES,1900000.0000000002,2959500.0,7987500.0
COLIMA,1280000.0,2225000.0,3912500.0
