id,primera_fecha,ult_fecha,tiempo_serv_trab,fecha_inidi,ent_pago_des,neto_pagar,ultimo_sueldo
136536792,2000-09-01,2003-08-31,430100,2003-09-01,YUCATAN,24461.02,33942.0
136536959,2003-06-01,2003-09-15,291115,2003-09-16,SUR DE LA CDMX,5482.75,11056.2
136537789,2003-06-01,2003-09-15,210600,2003-09-16,SUR DE LA CDMX,8584.0,12867.692307692309
136538041,1998-01-01,2009-10-31,120002,2009-11-01,BAJA CALIFORNIA SUR,18567.1,36694.2
136538050,1999-06-01,2009-06-30,100208,2009-07-01,PUEBLA,13968.38,30098.478260869564
136538254,2000-06-01,2002-02-15,210301,2003-02-14,SUR DE LA CDMX,12484.99,30941.53846153846
136539537,2001-11-23,2003-03-31,310300,2003-04-01,SUR DE LA CDMX,13538.22,13412.1
136539745,1999-03-16,2009-01-31,91015,2009-02-01,SUR DE LA CDMX,8525.45,16728.0
136539836,1998-03-16,2009-12-30,111118,2009-12-31,CAMPECHE,8525.45,20910.0
136540911,2002-02-16,2012-02-15,100122,2012-02-16,VERACRUZ,15325.62,30424.2
136541006,2000-04-01,2001-07-31,261125,2001-08-01,PONIENTE DE LA CDMX,10038.78,11632.941176470587
136541111,2002-02-25,2003-09-09,280914,2003-09-10,QUERETARO,23152.22,32519.1
136541456,2003-01-01,2003-03-31,280000,2003-04-01,NUEVO LEON,9457.58,10336.333333333334
136541744,2000-02-01,2010-05-31,100523,2010-06-01,GUERRERO,5995.09,17425.0
136542724,2002-07-01,2002-12-31,200605,2004-03-10,ORIENTE DE LA CDMX,8584.0,12867.692307692309
136542806,2000-08-16,2004-04-15,290009,2004-04-16,SUR DE LA CDMX,30632.55,32725.2
136543370,2000-04-16,2002-07-31,181000,2002-08-01,SUR DE LA CDMX,32716.12,54542.0
136544120,2001-02-16,2003-08-31,170828,2003-09-01,SUR DE LA CDMX,18781.83,33495.65217391304
136544979,2003-06-01,2003-09-15,271015,2003-09-16,ORIENTE DE LA CDMX,10272.53,10648.8
136545060,2000-05-01,2010-05-31,100223,2010-06-01,NORTE DE LA CDMX,9736.9,23792.25
136546783,2000-04-01,2012-02-29,120102,2012-03-01,SUR DE LA CDMX,8584.0,18182.608695652172
136547645,2000-12-16,2011-01-31,100309,2011-02-01,VERACRUZ,8584.0,16728.0
136548362,2001-06-01,2003-08-31,150900,2003-09-01,ZACATECAS,8525.45,15931.42857142857
136548517,2001-06-01,2003-06-30,200707,2003-07-01,SINALOA,8525.45,12867.692307692309
